code, stationname, lat, long
(None, None, None, None)
(u'1082', u'Koivusaari', 60.16327777777777, 24.85088888888889)
(u'1083', u'Hevosalmi', 60.161972222222225, 25.04838888888889)
(u'1088', u'Suomenlinna', 60.14872222222222, 24.97463888888889)
(u'1090', u'Susisaari', 60.144999999999996, 24.980249999999998)
(u'1091', u'Kustaanmiekka ', 60.14125, 24.986555555555555)
(u'1092', u'Kurkim\xe4ki', 60.23291666666667, 25.069444444444443)
(u'1093', u'Hietasaarenkatu', 60.15361111111111, 24.918694444444444)
(u'1096', u'Porttirinne', 60.282, 25.04019444444445)
(u'1100', u'Heikinlaakso', 60.27286111111111, 25.077472222222223)
(u'1102', u'Liusketie', 60.23897222222222, 25.01897222222222)
(u'1105', u'S\xe4yn\xe4skuja', 60.21977777777778, 24.990916666666667)
(u'1108', u'L\xe4nsi-Jollas', 60.16305555555555, 25.072972222222223)
(u'1114', u'Iso-Musta', 60.14783333333333, 24.982527777777776)
(u'1115', u'Keski-Jollas', 60.16597222222222, 25.08163888888889)
(u'1116', u'Turunlinnantie', 60.21402777777778, 25.084999999999997)
(u'1117', u'Varvilahti', 60.146277777777776, 24.986888888888892)
(u'1119', u'Hopeakivi ', 60.145777777777774, 24.99211111111111)
(u'1120', u'Pikku-Musta', 60.14925, 24.97905555555555)
(u'1122', u'Hepokalliontie', 60.170972222222225, 25.075722222222222)
(u'1123', u'Kissalaakso', 60.172805555555556, 24.98258333333333)
(u'1125', u'Rattitie', 60.26244444444444, 25.054638888888892)
(u'1126', u'Autotallintie', 60.260361111111116, 25.050194444444447)
(u'1127', u'Santakatu', 60.16266666666667, 24.917416666666668)
(u'1131', u'Kytkintie 1', 60.260888888888886, 25.060222222222226)
(u'1132', u'Tilkantori', 60.202027777777786, 24.892694444444444)
(u'1134', u'Ramsinniementie', 60.196194444444444, 25.111722222222223)
(u'1135', u'Kivikon asuinalue', 60.23536111111112, 25.05963888888889)
(u'1136', u'Selk\xe4merenpiha', 60.161027777777775, 24.917444444444445)
(u'1137', u'Vattuniemenkuja', 60.15391666666667, 24.888694444444443)
(u'1138', u'Hiekkajaalan puisto', 60.19997222222222, 25.143555555555558)
(u'1140', u'Virepolku', 60.169777777777774, 25.084944444444446)
(u'1141', u'Tilkankuja', 60.19683333333333, 24.895166666666665)
(u'1142', u'Viikintie', 60.22552777777778, 24.99827777777778)
(u'1145', u'J\xe4\xe4hdytintie', 60.255833333333335, 25.057055555555554)
(u'1146', u'Jarrutie 1', 60.25344444444444, 25.056305555555557)
(u'1148', u'Laivanrakentaja', 60.215944444444446, 25.155999999999995)
(u'1149', u'Killingholma', 60.185805555555554, 25.03536111111111)
(u'1150', u'Jarrutie 2', 60.25277777777778, 25.060250000000003)
(u'1151', u'Jaalarannanpuisto', 60.16052777777778, 24.911805555555553)
(u'1153', u'Kytkintie 2', 60.25738888888889, 25.06191666666667)
(u'1154', u'Puuskarinne', 60.17238888888888, 25.08111111111111)
(u'1156', u'Tulvaniitynpolku', 60.23227777777778, 24.98161111111111)
(u'1157', u'Tilanhoitajan kaari', 60.230222222222224, 25.03313888888889)
(u'1158', u'Norkkokuja', 60.22497222222223, 25.027388888888886)
(u'1159', u'Mets\xe4pirtti', 60.306305555555554, 25.451055555555556)
(u'1160', u'Suolakivenkatu', 60.189305555555556, 25.026027777777777)
(u'1161', u'Kellosaarenranta', 60.16127777777778, 24.908138888888885)
(u'1162', u'Fallkulla', 60.263194444444444, 25.036333333333335)
(u'1163', u'Vuotie', 60.209944444444446, 25.163083333333333)
(u'1164', u'Latokartano', 60.225611111111114, 25.00822222222222)
(u'1165', u'Kultahiekka', 60.202138888888896, 25.153444444444442)
(u'1166', u'Kulos.kartano', 60.191694444444444, 25.016305555555558)
(u'1167', u'Meri Perttil\xe4', 60.160888888888884, 25.093888888888888)
(u'1168', u'Matosaarenniemi', 60.15727777777778, 25.081555555555553)
(u'1169', u'Viikinojanpuisto', 60.22869444444445, 25.039805555555557)
